id	filename	md5	size	state
003e1656-b7f5-4046-ac10-c44871c0712d	003e1656-b7f5-4046-ac10-c44871c0712d/bd4b6975-90d9-43f8-aadc-344d04644822.FPKM-UQ.txt.gz	dc3f39d7076185e31a396577375a9d21	558398	validated
00dc5991-7b5d-40b5-a259-34f0685107f0	00dc5991-7b5d-40b5-a259-34f0685107f0/cd925805-378c-4070-a7f3-ba8084efd836.FPKM-UQ.txt.gz	60e0f6a978c1ae45a61b6bb55b1dbe32	520297	validated
010ab9a8-98d0-42cb-be35-d72f168fac2a	010ab9a8-98d0-42cb-be35-d72f168fac2a/9c10ea63-f990-4c9b-9149-df9583e59610.FPKM-UQ.txt.gz	071fd5e0a3fe8e79876bd95052ebf951	539705	validated
04977dd1-7846-40e4-97aa-8f4e276eba8b	04977dd1-7846-40e4-97aa-8f4e276eba8b/742b41f9-faca-4bad-a2a5-5d40b8bf06ce.FPKM-UQ.txt.gz	804e61821962ae07939ae0aaee213508	531941	validated
068f339b-c56e-4816-bf51-b0ce181bd889	068f339b-c56e-4816-bf51-b0ce181bd889/48a2e1f7-04c0-4013-83b6-fde730168435.FPKM-UQ.txt.gz	03001d6afb8987e1d32da03d2eeceda9	538020	validated
08ed9617-6ffd-4d49-8855-e8a1beeec62a	08ed9617-6ffd-4d49-8855-e8a1beeec62a/760c3a6c-809b-4d7e-9ec6-f5b713e8057d.FPKM-UQ.txt.gz	d86143e267e132b774fc6e7f683bd83e	543047	validated
0cc1ef00-5867-4f3b-bd2f-813597fea5f8	0cc1ef00-5867-4f3b-bd2f-813597fea5f8/38195109-056a-4a1f-997e-0f77e20b647b.FPKM-UQ.txt.gz	0348d01380b8e837fa0b0e3a79140767	524624	validated
106bc64d-aa91-4f81-9abe-f3234573e395	106bc64d-aa91-4f81-9abe-f3234573e395/8a395eef-a9cc-4f21-b8d2-aefa292077cf.FPKM-UQ.txt.gz	4bb22daffa2acb8813cf3092d3d6d9e2	536452	validated
1264bc83-fc4b-4429-b492-2226dc7d5caf	1264bc83-fc4b-4429-b492-2226dc7d5caf/8cb39efc-4bfb-49df-bc48-159d9211bc5a.FPKM-UQ.txt.gz	3bbae69ce9d50c2f905dddd3f5a63446	545057	validated
12ebd6e9-1351-44bb-919a-e2dc5d287171	12ebd6e9-1351-44bb-919a-e2dc5d287171/1ed5fd9b-a682-4e81-bda1-7ed085f4355d.FPKM-UQ.txt.gz	7120fbaf82b5e0d0d511590cb7eec13f	506287	validated
